
libgomp: Invalid value for environment variable OMP_NUM_THREADS
08-29 00:32:33 Model para number = 1.04
Training checkpoint exps/qmf_sync_rank_smoke_seed0/model/training_0005.checkpoint loaded; resume from epoch 6 with optimizer and scheduler state!
08-29 00:39:44 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.57%,  LossV: 0.38651, LossAV: 0.24009, LossSync: 0.61619, LossRank: 0.01572, Loss: 0.49654, ACC: 90.13% 
08-29 00:39:49 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.64%,  LossV: 0.38796, LossAV: 0.24115, LossSync: 0.61649, LossRank: 0.01580, Loss: 0.49836, ACC: 90.10% 
08-29 00:39:50 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.71%,  LossV: 0.38923, LossAV: 0.24283, LossSync: 0.61555, LossRank: 0.01587, Loss: 0.50059, ACC: 89.90% 
08-29 00:39:51 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.78%,  LossV: 0.39491, LossAV: 0.24246, LossSync: 0.61530, LossRank: 0.01673, Loss: 0.50312, ACC: 89.90% 
08-29 00:39:57 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.86%,  LossV: 0.39633, LossAV: 0.24552, LossSync: 0.61552, LossRank: 0.01691, Loss: 0.50693, ACC: 89.75% 
08-29 00:40:03 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.93%,  LossV: 0.39427, LossAV: 0.24155, LossSync: 0.61453, LossRank: 0.01666, Loss: 0.50181, ACC: 89.94% 
08-29 00:40:06 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.00%,  LossV: 0.39497, LossAV: 0.24141, LossSync: 0.61517, LossRank: 0.01677, Loss: 0.50208, ACC: 89.95% 
08-29 00:40:10 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.07%,  LossV: 0.39357, LossAV: 0.24077, LossSync: 0.61646, LossRank: 0.01662, Loss: 0.50086, ACC: 90.01% 
08-29 00:40:11 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.14%,  LossV: 0.39275, LossAV: 0.23958, LossSync: 0.61661, LossRank: 0.01635, Loss: 0.49926, ACC: 90.05% 
08-29 00:40:15 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.21%,  LossV: 0.39472, LossAV: 0.24219, LossSync: 0.61568, LossRank: 0.01668, Loss: 0.50279, ACC: 89.89% 
